x;Temp;Wt.level;Weight;Area.total;Area.lateral;Samp.time;Site
1;30;120;2;144.9;208.05;11;Buzios
2;30;110;6;238.38;495.06;11;Buzios
3;31;90;4;155.32;342.59;9;Buzios
4;30;86;15;480.7;698.36;10;Buzios
5;30;85;4;162.7;172.49;8;Buzios
6;30;65;4.5;308.55;233.4;7;Buzios
7;30;61;11.5;357.67;199.7;12;Buzios
8;30;33;7.5;251.54;265.05;8;Buzios
9;30;37;2;160.88;116;5;Buzios
10;30;43;2;113.42;137.22;7;Buzios
11;30;50;20;593.51;639.37;11;Buzios
12;30;48;2;98;66.73;6;Buzios
13;31;83;1.5;93.24;142.81;9;Buzios
14;31;73;10;349.75;280.3;10;Buzios
15;31;84;17;412.73;427.26;8;Buzios
16;31;43;1.9;160.54;124.69;5;Buzios
17;31;50;1.8;116.33;124.16;6;Buzios
18;31;67;2.5;609.86;201.32;11;Buzios
19;31;43;2.5;151.11;134.02;4;Buzios
20;31;47;15.2;372.46;224.3;9;Buzios
21;31.5;59;4.9;203.4;320.54;6;Buzios
22;31.5;86;1.7;81.15;103.43;7;Buzios
23;31.5;74;25;829.67;586.48;19;Buzios
24;31;97;7.5;371.42;183.79;10;Buzios
25;31;94;3.5;200.87;166.77;8;Buzios
26;31;90;4;242.7;188.23;7;Buzios
27;31;120;3.8;176.79;178.98;6;Buzios
28;31;135;9.5;349.01;250.35;9;Buzios
29;31;128;9;504.7;250.1;11;Buzios
30;30.5;105;3;168.28;148.38;10;Buzios
31;28.5;45;9;356.85;253.56;7;Pitangui
32;28.8;56;3;172.68;94.79;5;Pitangui
33;28.8;30;5.5;227.82;351.5;6;Pitangui
34;29;30;17;462.14;419.33;9;Pitangui
35;29.9;23;8;404.7;192.36;8;Pitangui
36;29.9;28;3;175.21;82.78;6;Pitangui
37;30;42;25;425.12;469.32;12;Pitangui
38;29;10;8;288.75;153.91;7;Pitangui
39;30;14;3;157.86;95.69;8;Pitangui
40;30;9;8;304.82;196.78;6;Pitangui
41;29.9;13;11;458.33;324.25;7;Pitangui
42;29.5;66;3;131.27;225.17;5;Pitangui
43;30;50;10.5;334.97;206.22;8;Pitangui
44;30;58;2.5;177.83;82.05;5;Pitangui
45;30;62;6;314.34;166.94;6;Pitangui
46;29;51;9.9;225.21;178.47;6;Pitangui
47;29;79;13;342.24;242.6;6;Pitangui
48;28.8;86;10;387.42;259.37;7;Pitangui
49;28.5;59;1.5;128.81;60.78;5;Pitangui
50;28.5;78;8;222.59;234.71;6;Pitangui
51;29.8;44;2.5;124.7;87.06;9;Pitangui
52;28;20;7;259.69;194.69;10;Pitangui
53;28;72;5;143.59;169.27;9;Pitangui
54;27.5;9;4;169.09;235.13;6;Pitangui
55;28;27;7.5;270.61;206.03;5;Pitangui
56;28;54;4.5;138.32;123.46;7;Pitangui
57;28;58;6.5;280.17;239.39;10;Pitangui
58;26.8;1;4.5;183.5;188.11;4;Pitangui
59;28;36;5;212.15;225.37;9;Pitangui
60;28;50;1.5;88.71;79.72;5;Pitangui
61;30;19;10;317.83;224.95;6;Baia Formosa
62;30.5;8;3.5;111.26;115.79;6;Baia Formosa
63;30.5;15;18;544.45;258.07;5;Baia Formosa
64;30;21;2.5;153.23;120.22;5;Baia Formosa
65;30.5;16;6.5;219.44;184.13;3;Baia Formosa
66;30.8;24;12;429.64;209.89;5;Baia Formosa
67;30.1;34;10;491.69;353.67;4;Baia Formosa
68;30.3;54;17;445.96;342.5;6;Baia Formosa
69;31;41;5;211.67;297.72;5;Baia Formosa
70;31.1;38;8;357.48;125.29;6;Baia Formosa
71;32;22;5;324.23;203.19;6;Baia Formosa
72;31.5;35;2.1;74.72;101.87;5;Baia Formosa
73;34;11;4.5;301.75;170.26;5;Baia Formosa
74;32.5;20;3;151.81;175.85;5;Baia Formosa
75;32.5;39;6;232.58;184.93;9;Baia Formosa
76;30;14;5.2;207.42;217.89;6;Baia Formosa
77;30.4;14;12;347.95;183.45;4;Baia Formosa
78;30;16;3;181.15;157.42;6;Baia Formosa
79;30;16;3;320.96;159.84;6;Baia Formosa
80;30.9;11;3.5;237.87;133.81;6;Baia Formosa
81;31.2;26;16;734.49;324.52;12;Baia Formosa
82;32.7;6;3;206.83;78.94;7;Baia Formosa
83;32;10;5;176.08;165.44;7;Baia Formosa
84;31.5;10;6;183.63;140.52;5;Baia Formosa
85;30.1;26;13;632.97;482.26;13;Baia Formosa
86;31.5;23;5.5;263.99;262.95;9;Baia Formosa
87;31;30;2;116.78;108.72;8;Baia Formosa
88;32;6.5;2.5;201.58;123.27;6;Baia Formosa
89;33;8;2;131.8;72.08;6;Baia Formosa
90;31;33;11;643.89;254.56;11;Baia Formosa
91;32.5;11.5;7.5;279.55;106.9;8;Santa Rita
92;32;18.3;4.5;390.72;465.96;9;Santa Rita
93;32.5;7;12.5;345.64;242.05;7;Santa Rita
94;32.9;7.3;4.2;290.98;548.94;6;Santa Rita
95;32;7;3;133.79;156.63;8;Santa Rita
96;32.4;8;11.5;272.83;241.41;9;Santa Rita
97;33;8.7;5.3;266.63;162.64;8;Santa Rita
98;32;17.5;19.5;82.05;100.14;13;Santa Rita
99;32;5;3;290.61;284.28;5;Santa Rita
100;32;5.5;5.5;139.91;228.14;11;Santa Rita
101;33;7.7;3;277.55;259.82;7;Santa Rita
102;33.1;7;4.5;226.03;180.86;6;Santa Rita
103;33;22.3;8;106.8;174.8;7;Santa Rita
104;31.8;12;3.8;300.5;274.83;6;Santa Rita
105;31.5;8.6;5.5;156.85;101.91;8;Santa Rita
106;33;10;8;215.17;147.04;8;Santa Rita
107;32.8;12;17;192.57;175.2;11;Santa Rita
108;30;15.5;11;369.12;490.89;6;Santa Rita
109;33;12.5;11;162.67;242.35;6;Santa Rita
110;32;18;5;130.74;103.45;5;Santa Rita
111;32.8;8.4;7.5;322;211.55;8;Santa Rita
112;31.9;5;3;170.09;398.35;7;Santa Rita
113;32;6;2;503.52;367.76;4;Santa Rita
114;34;11.8;9;244.18;118.51;9;Santa Rita
115;32;3;3;169.39;327.44;9;Santa Rita
116;33;5;8;94.73;170.9;6;Santa Rita
117;33.1;12;7.5;172.06;164.61;6;Santa Rita
118;32.5;10;3.5;350.9;194.5;6;Santa Rita
119;31;32;16;259.75;254;11;Santa Rita
120;31.2;21;4;160.39;235.23;7;Santa Rita
